city_st,ndvi_mean18,ndvi_sd18,Consolidated
Lexington_KY,0.7143271683156314,0.14596178990783729,Y
Chesapeake_VA,0.7110780586861554,0.1409569790946523,N
Ann Arbor_MI,0.7061736070214983,0.2325387024665052,N
Lansing_MI,0.7027114132674523,0.2340859100013987,N
Athens_GA,0.6999145139210684,0.1274101454785305,Y
North Charleston_SC,0.6987244381701767,0.247388422399486,N
Columbia_SC,0.6924266918319286,0.20431371551420371,N
Savannah_GA,0.6904347495268067,0.24191983901514227,N
Independence_MO,0.6878986461346278,0.1561426926082568,N
Stamford_CT,0.6829780699506841,0.1755929581385038,N
